benchmark,ablation,benchmark_label,seed,n_examples,accuracy,brier,convergence_step,entropy_start,entropy_end,entropy_slope,correction_count
liquid,full,liquid (full),0,10,0.9,0.43787117022990624,3,4.145158974054464,2.346577340884252,-0.19331479370011367,4
liquid,full,liquid (full),1,10,0.9,0.4192524164236038,3,4.145154319674404,2.3465774057738646,-0.19649340170217428,4
liquid,ablate_recency_blend,liquid (ablate_recency_blend),0,10,0.9,0.43787117023125954,3,4.145158974054464,2.346577340884252,-0.19331479385976755,5
liquid,ablate_recency_blend,liquid (ablate_recency_blend),1,10,0.9,0.4193339322837086,3,4.145154319674404,2.346577340884252,-0.19647161994385598,5
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),0,10,0.9,0.43787117022990624,3,4.145158974054464,2.346577340884252,-0.19331479370011367,4
liquid,ablate_stale_feature_demotion,liquid (ablate_stale_feature_demotion),1,10,0.9,0.4192524164236038,3,4.145154319674404,2.3465774057738646,-0.19649340170217428,4
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),0,10,0.9,0.43787117022990624,3,4.145158974054464,2.346577340884252,-0.19331479370011367,4
liquid,ablate_active_learning_cooldown,liquid (ablate_active_learning_cooldown),1,10,0.9,0.4192524164236038,3,4.145154319674404,2.3465774057738646,-0.19649340170217428,4
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),0,10,0.9,0.43787117022990624,3,4.145158974054464,2.346577340884252,-0.19331479370011367,3
liquid,ablate_confirmation_memory_floor,liquid (ablate_confirmation_memory_floor),1,10,0.9,0.4192524164236038,3,4.145154319674404,2.3587119620799064,-0.1958315168127538,4
liquid,ablate_anchor_override,liquid (ablate_anchor_override),0,10,0.9,0.43787117022990624,3,4.145158974054464,2.346577340884252,-0.19331479370011367,4
liquid,ablate_anchor_override,liquid (ablate_anchor_override),1,10,0.9,0.4192524164236038,3,4.145154319674404,2.3465774057738646,-0.19649340170217428,4
scifi_movies,full,scifi_movies (full),0,10,0.8,0.3203767264759049,3,2.532726929837237,2.3673053438281557,-0.11032310678991628,5
scifi_movies,full,scifi_movies (full),1,10,0.9,0.32145116331706236,3,3.5297292008583234,2.3673053438281557,-0.15910418628309156,4
